id,y
750000,0.03
750001,0.28
750002,0.0
750003,0.0
750004,0.11
750005,0.02
750006,0.14
750007,0.27
750008,0.03
750009,0.28
750010,0.0
750011,0.02
750012,0.65
750013,0.0
750014,0.17
750015,0.17
750016,0.0
750017,0.0
750018,0.23
750019,0.26
750020,0.17
750021,0.35
750022,0.0
750023,0.0
750024,0.0
750025,0.01
750026,0.68
750027,0.01
750028,0.25
750029,0.61
750030,0.59
750031,0.01
750032,0.01
750033,0.0
750034,0.66
750035,0.01
750036,0.0
750037,0.0
750038,0.0
750039,0.0
750040,0.14
750041,0.05
750042,0.0
750043,0.0
750044,0.02
750045,0.02
750046,0.0
750047,0.0
750048,0.71
750049,0.15
750050,0.0
750051,0.0
750052,0.42
750053,0.15
750054,0.0
750055,0.0
750056,0.2
750057,0.0
750058,0.0
750059,0.0
750060,0.23
750061,0.0
750062,0.0
750063,0.14
750064,0.0
750065,0.0
750066,0.01
750067,0.19
750068,0.07
750069,0.0
750070,0.03
750071,0.89
750072,0.0
750073,0.37
750074,0.0
750075,0.0
750076,0.05
750077,0.0
750078,0.0
750079,0.01
750080,0.0
750081,0.56
750082,0.04
750083,0.0
750084,0.02
750085,0.0
750086,0.05
750087,0.29
750088,0.2
750089,0.13
750090,0.0
750091,0.11
750092,0.0
750093,0.02
750094,0.35
750095,0.66
750096,0.0
750097,0.0
750098,0.0
750099,0.02
750100,0.02
750101,0.02
750102,0.0
750103,0.01
750104,0.0
750105,0.0
750106,0.0
750107,0.0
750108,0.7
750109,0.03
750110,0.06
750111,0.12
750112,0.0
750113,0.0
750114,0.35
750115,0.01
750116,0.0
750117,0.36
750118,0.04
750119,0.55
750120,0.12
750121,0.0
750122,0.18
750123,0.0
750124,0.0
750125,0.0
750126,0.0
750127,0.1
750128,0.03
750129,0.38
750130,0.23
750131,0.0
750132,0.0
750133,0.01
750134,0.09
750135,0.16
750136,0.0
750137,0.0
750138,0.0
750139,0.0
750140,0.02
750141,0.0
750142,0.28
750143,0.0
750144,0.42
750145,0.0
750146,0.31
750147,0.01
750148,0.01
750149,0.01
750150,0.0
750151,0.91
750152,0.0
750153,0.07
750154,0.12
750155,0.6
750156,0.01
750157,0.0
750158,0.0
750159,0.16
750160,0.06
750161,0.0
750162,0.0
750163,0.28
750164,0.25
750165,0.0
750166,0.05
750167,0.0
750168,0.1
750169,0.0
750170,0.0
750171,0.8
750172,0.03
750173,0.18
750174,0.76
750175,0.27
750176,0.11
750177,0.07
750178,0.0
750179,0.16
750180,0.92
750181,0.07
750182,0.02
750183,0.0
750184,0.0
750185,0.02
750186,0.39
750187,0.0
750188,0.0
750189,0.0
750190,0.75
750191,0.0
750192,0.0
750193,0.0
750194,0.0
750195,0.0
750196,0.9
750197,0.01
750198,0.0
750199,0.5
750200,0.01
750201,0.0
750202,0.0
750203,0.0
750204,0.39
750205,0.0
750206,0.0
750207,0.0
750208,0.0
750209,0.01
750210,0.01
750211,0.0
750212,0.02
750213,0.0
750214,0.0
750215,0.05
750216,0.0
750217,0.0
750218,0.22
750219,0.8
750220,0.83
750221,0.0
750222,0.02
750223,0.62
750224,0.14
750225,0.01
750226,0.05
750227,0.0
750228,0.0
750229,0.25
750230,0.81
750231,0.03
750232,0.0
750233,0.0
750234,0.4
750235,0.57
750236,0.0
750237,0.16
750238,0.08
750239,0.79
750240,0.37
750241,0.45
750242,0.01
750243,0.0
750244,0.05
750245,0.09
750246,0.0
750247,0.01
750248,0.3
750249,0.16
750250,0.0
750251,0.48
750252,0.37
750253,0.15
750254,0.0
750255,0.08
750256,0.89
750257,0.0
750258,0.0
750259,0.15
750260,0.04
750261,0.13
750262,0.0
750263,0.0
750264,0.0
750265,0.0
750266,0.01
750267,0.0
750268,0.14
750269,0.0
750270,0.0
750271,0.0
750272,0.29
750273,0.0
750274,0.0
750275,0.03
750276,0.0
750277,0.09
750278,0.89
750279,0.0
750280,0.0
750281,0.44
750282,0.14
750283,0.66
750284,0.01
750285,0.09
750286,0.0
750287,0.27
750288,0.02
750289,0.03
750290,0.0
750291,0.06
750292,0.0
750293,0.12
750294,0.0
750295,0.01
750296,0.0
750297,0.84
750298,0.31
750299,0.03
750300,0.0
750301,0.0
750302,0.19
750303,0.19
750304,0.0
750305,0.03
750306,0.0
750307,0.0
750308,0.0
750309,0.02
750310,0.05
750311,0.0
750312,0.07
750313,0.0
750314,0.56
750315,0.1
750316,0.0
750317,0.0
750318,0.0
750319,0.0
750320,0.27
750321,0.05
750322,0.0
750323,0.03
750324,0.0
750325,0.0
750326,0.0
750327,0.0
750328,0.0
750329,0.02
750330,0.0
750331,0.97
750332,0.0
750333,0.0
750334,0.0
750335,0.0
750336,0.0
750337,0.0
750338,0.02
750339,0.0
750340,0.01
750341,0.0
750342,0.01
750343,0.01
750344,0.0
750345,0.0
750346,0.05
750347,0.61
750348,0.0
750349,0.43
750350,0.0
750351,0.01
750352,0.0
750353,0.11
750354,0.07
750355,0.0
750356,0.01
750357,0.01
750358,0.37
750359,0.11
750360,0.51
750361,0.44
750362,0.0
750363,0.0
750364,0.07
750365,0.0
750366,0.0
750367,0.0
750368,0.0
750369,0.1
750370,0.0
750371,0.0
750372,0.0
750373,0.0
750374,0.0
750375,0.04
750376,0.0
750377,0.21
750378,0.03
750379,0.14
750380,0.07
750381,0.0
750382,0.01
750383,0.1
750384,0.0
750385,0.0
750386,0.98
750387,0.08
750388,0.0
750389,0.0
750390,0.01
750391,0.37
750392,0.0
750393,0.12
750394,0.0
750395,0.0
750396,0.12
750397,0.14
750398,0.0
750399,0.0
750400,0.0
750401,0.0
750402,0.0
750403,0.06
750404,0.0
750405,0.71
750406,0.29
750407,0.0
750408,0.02
750409,0.0
750410,0.0
750411,0.0
750412,0.0
750413,0.04
750414,0.52
750415,0.68
750416,0.77
750417,0.49
750418,0.09
750419,0.41
750420,0.24
750421,0.0
750422,0.03
750423,0.0
750424,0.0
750425,0.0
750426,0.69
750427,0.0
750428,0.0
750429,0.87
750430,0.01
750431,0.0
750432,0.04
750433,0.0
750434,0.0
750435,0.02
750436,0.74
750437,0.0
750438,0.0
750439,0.02
750440,0.07
750441,0.0
750442,0.03
750443,0.0
750444,0.01
750445,0.0
750446,0.8
750447,0.0
750448,0.91
750449,0.0
750450,0.01
750451,0.34
750452,0.0
750453,0.06
750454,0.26
750455,0.0
750456,0.0
750457,0.01
750458,0.0
750459,0.0
750460,0.0
750461,0.0
750462,0.01
750463,0.08
750464,0.0
750465,0.65
750466,0.0
750467,0.0
750468,0.0
750469,0.01
750470,0.08
750471,0.0
750472,0.0
750473,0.04
750474,0.0
750475,0.82
750476,0.0
750477,0.13
750478,0.03
750479,0.08
750480,0.2
750481,0.34
750482,0.02
750483,0.43
750484,0.11
750485,0.0
750486,0.0
750487,0.0
750488,0.0
750489,0.0
750490,0.0
750491,0.35
750492,0.0
750493,0.0
750494,0.0
750495,0.01
750496,0.0
750497,0.0
750498,0.25
750499,0.01
750500,0.01
750501,0.0
750502,0.0
750503,0.0
750504,0.0
750505,0.0
750506,0.0
750507,0.32
750508,0.56
750509,0.74
750510,0.0
750511,0.72
750512,0.0
750513,0.0
750514,0.0
750515,0.05
750516,0.46
750517,0.05
750518,0.0
750519,0.19
750520,0.0
750521,0.18
750522,0.69
750523,0.19
750524,0.96
750525,0.0
750526,0.63
750527,0.0
750528,0.03
750529,0.0
750530,0.03
750531,0.0
750532,0.2
750533,0.01
750534,0.03
750535,0.23
750536,0.01
750537,0.0
750538,0.0
750539,0.71
750540,0.14
750541,0.0
750542,0.0
750543,0.0
750544,0.09
750545,0.0
750546,0.0
750547,0.0
750548,0.0
750549,0.0
750550,0.03
750551,0.02
750552,0.0
750553,0.07
750554,0.8
750555,0.0
750556,0.0
750557,0.0
750558,0.84
750559,0.04
750560,0.03
750561,0.08
750562,0.01
750563,0.0
750564,0.18
750565,0.01
750566,0.0
750567,0.0
750568,0.0
750569,0.44
750570,0.07
750571,0.0
750572,0.96
750573,0.0
750574,0.81
750575,0.0
750576,0.46
750577,0.0
750578,0.6
750579,0.07
750580,0.0
750581,0.01
750582,0.0
750583,0.0
750584,0.0
750585,0.26
750586,0.0
