id,y
750000,0.04
750001,0.14
750002,0.01
750003,0.0
750004,0.18
750005,0.06
750006,0.49
750007,0.42
750008,0.18
750009,0.12
750010,0.01
750011,0.06
750012,0.31
750013,0.01
750014,0.19
750015,0.16
750016,0.0
750017,0.25
750018,0.15
750019,0.12
750020,0.24
750021,0.48
750022,0.01
750023,0.01
750024,0.01
750025,0.0
750026,0.51
750027,0.0
750028,0.44
750029,0.22
750030,0.4
750031,0.0
750032,0.0
750033,0.01
750034,0.49
750035,0.02
750036,0.01
750037,0.0
750038,0.03
750039,0.02
750040,0.18
750041,0.01
750042,0.0
750043,0.01
750044,0.04
750045,0.06
750046,0.0
750047,0.0
750048,0.6
750049,0.33
750050,0.0
750051,0.01
750052,0.45
750053,0.21
750054,0.02
750055,0.0
750056,0.16
750057,0.02
750058,0.0
750059,0.0
750060,0.36
750061,0.0
750062,0.0
750063,0.17
750064,0.0
750065,0.0
750066,0.0
750067,0.1
750068,0.0
750069,0.01
750070,0.01
750071,0.76
750072,0.01
750073,0.57
750074,0.0
750075,0.0
750076,0.01
750077,0.01
750078,0.01
750079,0.02
750080,0.01
750081,0.03
750082,0.17
750083,0.0
750084,0.01
750085,0.0
750086,0.08
750087,0.27
750088,0.11
750089,0.22
750090,0.01
750091,0.25
750092,0.0
750093,0.11
750094,0.28
750095,0.43
750096,0.0
750097,0.04
750098,0.0
750099,0.01
750100,0.15
750101,0.01
750102,0.0
750103,0.0
750104,0.01
750105,0.0
750106,0.0
750107,0.01
750108,0.66
750109,0.01
750110,0.03
750111,0.42
750112,0.0
750113,0.0
750114,0.41
750115,0.0
750116,0.01
750117,0.23
750118,0.0
750119,0.18
750120,0.26
750121,0.0
750122,0.47
750123,0.0
750124,0.11
750125,0.02
750126,0.0
750127,0.41
750128,0.01
750129,0.1
750130,0.12
750131,0.01
750132,0.0
750133,0.0
750134,0.06
750135,0.08
750136,0.0
750137,0.0
750138,0.0
750139,0.0
750140,0.0
750141,0.01
750142,0.51
750143,0.0
750144,0.34
750145,0.0
750146,0.29
750147,0.0
750148,0.04
750149,0.05
750150,0.01
750151,0.77
750152,0.0
750153,0.36
750154,0.09
750155,0.57
750156,0.0
750157,0.0
750158,0.0
750159,0.25
750160,0.21
750161,0.02
750162,0.0
750163,0.11
750164,0.58
750165,0.07
750166,0.13
750167,0.0
750168,0.35
750169,0.0
750170,0.0
750171,0.67
750172,0.03
750173,0.13
750174,0.36
750175,0.05
750176,0.0
750177,0.31
750178,0.0
750179,0.05
750180,0.79
750181,0.08
750182,0.01
750183,0.04
750184,0.0
750185,0.01
750186,0.35
750187,0.01
750188,0.0
750189,0.0
750190,0.5
750191,0.0
750192,0.0
750193,0.01
750194,0.01
750195,0.01
750196,0.68
750197,0.01
750198,0.0
750199,0.11
750200,0.13
750201,0.01
750202,0.07
750203,0.02
750204,0.33
750205,0.0
750206,0.06
750207,0.01
750208,0.0
750209,0.03
750210,0.0
750211,0.0
750212,0.0
750213,0.01
750214,0.0
750215,0.07
750216,0.0
750217,0.0
750218,0.2
750219,0.81
750220,0.52
750221,0.01
750222,0.01
750223,0.54
750224,0.08
750225,0.02
750226,0.04
750227,0.0
750228,0.03
750229,0.28
750230,0.42
750231,0.31
750232,0.0
750233,0.04
750234,0.07
750235,0.44
750236,0.0
750237,0.41
750238,0.11
750239,0.68
750240,0.69
750241,0.51
750242,0.01
750243,0.0
750244,0.01
750245,0.06
750246,0.01
750247,0.06
750248,0.38
750249,0.12
750250,0.0
750251,0.11
750252,0.12
750253,0.29
750254,0.01
750255,0.01
750256,0.7
750257,0.05
750258,0.0
750259,0.36
750260,0.36
750261,0.17
